series,date,value,hit,verdict,handling,event_date,event,gap_days,note,special
ETF_ret_pct,2023-10-04,-0.920600100688973,global+r60+r20+pre60,真实冲击,保留,2023-10-04,美债长端急升(10Y创多年新高) 全球利差走阔,0,"事件窗口内(±3日,偏差0日)",
dOAS_bp,2023-10-04,12.00000000000001,global+pre60,真实冲击,保留,2023-10-04,美债长端急升(10Y创多年新高) 全球利差走阔,0,"事件窗口内(±3日,偏差0日)",
dOAS_bp,2023-10-26,9.999999999999986,global,真实冲击,保留,2023-10-26,美债动荡延续 经济数据强劲,0,"事件窗口内(±3日,偏差0日)",
dOAS_bp,2023-11-01,10.999999999999988,global,真实冲击,保留,2023-11-01,美债供应与再融资压力,0,"事件窗口内(±3日,偏差0日)",
dOAS_bp,2023-11-06,-10.000000000000009,global,真实冲击,保留,2023-11-06,风险偏好修复 利差收窄,0,"事件窗口内(±3日,偏差0日)",
d10y_bp,2023-11-14,-18.99999999999995,global,真实冲击,保留,2023-11-14,美国10月CPI低于预期(3.2%),0,"事件窗口内(±3日,偏差0日)",
d5y_bp,2023-11-14,-24.00000000000002,global+r60+pre60,真实冲击,保留,2023-11-14,美国10月CPI低于预期(3.2%),0,"事件窗口内(±3日,偏差0日)",
dOAS_bp,2023-11-15,-15.000000000000014,global,真实冲击,保留,2023-11-15,CPI后信用大涨 利差大幅收窄,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2023-11-20,-0.6119629668441595,pre60,真实冲击,保留,2023-11-20,美元走弱 人民币升,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2023-11-29,0.6779603377576493,pre60,真实冲击,保留,2023-12-01,"鲍威尔称""为时过早谈降息"" 鹰派",2,"事件窗口内(±3日,偏差2日)",
dOAS_bp,2023-12-01,10.000000000000009,global,真实冲击,保留,2023-12-01,"鲍威尔称""为时过早谈降息"" 鹰派",0,"事件窗口内(±3日,偏差0日)",
d5y_bp,2023-12-13,-23.000000000000043,global,真实冲击,保留,2023-12-13,FOMC点阵图转向降息 收益率大降,0,"事件窗口内(±3日,偏差0日)",
dOAS_bp,2023-12-13,15.000000000000014,global,真实冲击,保留,2023-12-13,FOMC点阵图转向降息 收益率大降,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2023-12-14,0.8849579130108309,global+r60+pre60,真实冲击,保留,2023-12-14,转鸽确认 风险资产大涨 美元走弱,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2023-12-14,-0.8920815673876037,global+r60+pre60,真实冲击,保留,2023-12-14,转鸽确认 风险资产大涨 美元走弱,0,"事件窗口内(±3日,偏差0日)",
dOAS_bp,2023-12-14,-13.00000000000001,global,真实冲击,保留,2023-12-14,转鸽确认 风险资产大涨 美元走弱,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2024-01-02,0.5996156283777365,pre60,真实冲击,保留,2024-01-02,年初购汇需求与美元偏强 人民币走弱,0,"事件窗口内(±3日,偏差0日)",
dOAS_bp,2024-02-02,-11.99999999999999,global,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2024-02-07,-0.7722109071914618,global+r60+r20+pre60,真实冲击,保留,2024-02-07,中国股市流动性风险+美债收益率上行,0,"事件窗口内(±3日,偏差0日)",
dOAS_bp,2024-02-13,-10.000000000000009,global,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2024-03-25,0.6571757694457392,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
d10y_bp,2024-04-10,18.99999999999995,global+pre60,真实冲击,保留,2024-04-10,美国3月CPI超预期 收益率急升,0,"事件窗口内(±3日,偏差0日)",
d5y_bp,2024-04-10,24.00000000000002,global+r60+pre60,真实冲击,保留,2024-04-10,美国3月CPI超预期 收益率急升,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2024-05-06,-0.4623613541560933,r60+r20+pre60,真实冲击,保留,2024-05-06,美元回落 人民币升值,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2024-05-16,0.665185734115803,r60+r20+pre60,真实冲击,保留,2024-05-16,美国4月CPI回落 风险资产涨,0,"事件窗口内(±3日,偏差0日)",
dOAS_bp,2024-06-07,-8.000000000000007,r60+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2024-06-11,-0.5503642909914674,r60+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2024-07-17,0.5467467990256214,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2024-08-02,1.4016489653841169,global+r60+r20+pre60,真实冲击,保留,2024-08-02,7月非农大幅走弱+日元套息平仓,0,"事件窗口内(±3日,偏差0日)",与3141反向，但命中8/2美国就业走弱+套息平仓(美债利率大跌)，ETF+1.4%可由久期解释，判真实冲击
FX_ret_pct,2024-08-02,-1.1677363481216174,global+r60+r20+pre60,真实冲击,保留,2024-08-02,7月非农大幅走弱+日元套息平仓,0,"事件窗口内(±3日,偏差0日)",与3141反向，但命中8/2美国就业走弱+套息平仓(美债利率大跌)，ETF+1.4%可由久期解释，判真实冲击
d10y_bp,2024-08-02,-19.00000000000004,global+pre60,真实冲击,保留,2024-08-02,7月非农大幅走弱+日元套息平仓,0,"事件窗口内(±3日,偏差0日)",与3141反向，但命中8/2美国就业走弱+套息平仓(美债利率大跌)，ETF+1.4%可由久期解释，判真实冲击
d5y_bp,2024-08-02,-21.999999999999975,global+r60+pre60,真实冲击,保留,2024-08-02,7月非农大幅走弱+日元套息平仓,0,"事件窗口内(±3日,偏差0日)",与3141反向，但命中8/2美国就业走弱+套息平仓(美债利率大跌)，ETF+1.4%可由久期解释，判真实冲击
dOAS_bp,2024-08-02,9.000000000000007,r60+r20+pre60,真实冲击,保留,2024-08-02,7月非农大幅走弱+日元套息平仓,0,"事件窗口内(±3日,偏差0日)",与3141反向，但命中8/2美国就业走弱+套息平仓(美债利率大跌)，ETF+1.4%可由久期解释，判真实冲击
ETF_ret_pct,2024-09-10,1.0626997304420849,global+r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,无事件强支撑且与3141反向 → 存疑
d5y_bp,2024-10-04,18.999999999999993,r60+pre60,真实冲击,保留,2024-10-04,9月非农强劲 收益率上行,0,"事件窗口内(±3日,偏差0日)",
dOAS_bp,2024-10-04,-8.000000000000007,pre60,真实冲击,保留,2024-10-04,9月非农强劲 收益率上行,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2024-10-08,0.5967198213542302,r20,真实冲击,保留,2024-10-08,中国政策刺激后汇率波动 人民币回调,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2024-11-06,1.0292118380163862,global+r60+r20+pre60,真实冲击,保留,2024-11-06,特朗普胜选 美债收益率上行 美元大涨,0,"事件窗口内(±3日,偏差0日)",
d10y_bp,2024-11-06,16.000000000000014,r60+pre60,真实冲击,保留,2024-11-06,特朗普胜选 美债收益率上行 美元大涨,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2025-01-21,-0.7358163110386728,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2025-03-24,0.6417115654830052,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
d5y_bp,2025-04-03,-20.000000000000018,r60+pre60,真实冲击,保留,2025-04-02,"美国""解放日""对等关税(中国累计约54%) 历史级risk-off",1,"事件窗口内(±3日,偏差1日)",
dOAS_bp,2025-04-03,9.999999999999986,global+r60+pre60,真实冲击,保留,2025-04-02,"美国""解放日""对等关税(中国累计约54%) 历史级risk-off",1,"事件窗口内(±3日,偏差1日)",
d5y_bp,2025-04-09,17.99999999999997,pre60,真实冲击,保留,2025-04-09,90天关税暂缓(不含中国) 美股+9.5%,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2025-04-10,-1.858987546353452,global+r60+r20+pre60,真实冲击,保留,2025-04-10,中国反制84%至125% 亚洲IG信用risk-off,0,"事件窗口内(±3日,偏差0日)",
dOAS_bp,2025-04-10,-8.000000000000007,pre60,真实冲击,保留,2025-04-10,中国反制84%至125% 亚洲IG信用risk-off,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2025-04-11,0.769643218216598,global,真实冲击,保留,2025-04-11,隔夜美股再跌后亚洲风险偏好修复,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2025-05-06,-0.7482605492531658,r60+pre60,真实冲击,保留,2025-05-07,中国央行宽松(降准50bp加7天逆回购降10bp),1,"事件窗口内(±3日,偏差1日)",
ETF_ret_pct,2025-06-05,1.287568655563387,global+r60+r20+pre60,真实冲击,保留,2025-06-05,美国5月ADP弱加ISM服务跌破荣枯线 叠加美中谈判预期,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2025-07-07,1.2296330800474098,global+r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2025-07-23,-0.964114246288572,global+r60+pre60,真实冲击,保留,2025-07-23,美中缓和交易股债跷跷板 中国长债大跌,0,"事件窗口内(±3日,偏差0日)",命中2025-07-23股债切换/中国长债大跌(低置信)，判真实冲击，但单日-1.0%偏大需留意
d5y_bp,2025-08-01,-18.999999999999993,r60+pre60,真实冲击,保留,2025-08-01,日央行加息加套息平仓重演 全球risk-off,0,"事件窗口内(±3日,偏差0日)",
dOAS_bp,2025-08-01,7.9999999999999964,pre60,真实冲击,保留,2025-08-01,日央行加息加套息平仓重演 全球risk-off,0,"事件窗口内(±3日,偏差0日)",
FX_ret_pct,2025-08-04,-0.467004796049264,r60+r20+pre60,真实冲击,保留,2025-08-01,日央行加息加套息平仓重演 全球risk-off,3,"事件窗口内(±3日,偏差3日)",
ETF_ret_pct,2025-09-08,0.5271558067340032,r20,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2026-02-06,0.5232800428920603,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
d5y_bp,2026-03-02,11.000000000000032,pre60,真实冲击,保留,2026-03-02,开战首个交易日 布油大涨13% 全球risk-off,0,"事件窗口内(±3日,偏差0日)",
d10y_bp,2026-03-20,13.999999999999968,r60+pre60,真实冲击,保留,2026-03-18,FOMC按兵不动(3.50-3.75%) 点阵图仍显示1次降息,2,"事件窗口内(±3日,偏差2日)",
d5y_bp,2026-03-20,12.99999999999999,pre60,真实冲击,保留,2026-03-18,FOMC按兵不动(3.50-3.75%) 点阵图仍显示1次降息,2,"事件窗口内(±3日,偏差2日)",
ETF_ret_pct,2026-03-23,-0.7380105409564797,global+r60+r20+pre60,真实冲击,保留,2026-03-23,海湾战争risk-off(霍尔木兹48小时通牒) 10Y创8个月高位,0,"事件窗口内(±3日,偏差0日)",
dOAS_bp,2026-03-23,6.999999999999995,r60+pre60,真实冲击,保留,2026-03-23,海湾战争risk-off(霍尔木兹48小时通牒) 10Y创8个月高位,0,"事件窗口内(±3日,偏差0日)",
ETF_ret_pct,2026-04-01,0.5635789697131299,r60+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2026-07-02,0.5616876941020088,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
ETF_ret_pct,2026-07-06,-0.6376198291361934,r60+r20+pre60,存疑(无事件支撑),"仅标注,不改数",,,,,
