scenario_id,scenario_class,scenario_name,lead_direction,window_start,window_end,factor,factor_cn,unit,measure,shock,multiple,available,anchor_date,note
H2,历史,2023 美国银行业风波,避险(方向相反),2023-03-10,2023-03-17,fx_ret_pct,人民币兑美元汇率收益,%,peak_3d,-1.3738,,True,2023-03-14,
H2,历史,2023 美国银行业风波,避险(方向相反),2023-03-10,2023-03-17,fx_ret_pct,人民币兑美元汇率收益,%,cum_window,-1.0975,,True,2023-03-17,
H2,历史,2023 美国银行业风波,避险(方向相反),2023-03-10,2023-03-17,etf_ret_tr_pct,主口径ETF(USD复权),%,cum_window,1.9981,,True,2023-03-17,
H2,历史,2023 美国银行业风波,避险(方向相反),2023-03-10,2023-03-17,etf_ret_tr_pct,主口径ETF(USD复权),%,max_drawdown,-0.5604,,True,2023-03-17,
H2,历史,2023 美国银行业风波,避险(方向相反),2023-03-10,2023-03-17,etf_ret_rmb_pct,次口径ETF(人民币),%,cum_window,0.9006,,True,2023-03-17,
H2,历史,2023 美国银行业风波,避险(方向相反),2023-03-10,2023-03-17,etf_ret_rmb_pct,次口径ETF(人民币),%,max_drawdown,-0.556,,True,2023-03-17,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,d5y_bp,5年期美债收益率变动,bp,single_extreme,18.0,,True,2025-04-09,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,d5y_bp,5年期美债收益率变动,bp,peak_3d,34.0,,True,2025-04-09,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,d5y_bp,5年期美债收益率变动,bp,cum_window,43.0,,True,2025-04-11,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,d10y_bp,10年期美债收益率变动,bp,single_extreme,14.0,,True,2025-04-07,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,d10y_bp,10年期美债收益率变动,bp,peak_3d,33.0,,True,2025-04-09,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,d10y_bp,10年期美债收益率变动,bp,cum_window,47.0,,True,2025-04-11,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,doas_bp,新兴市场IG信用利差变动,bp,single_extreme,7.0,,True,2025-04-09,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,doas_bp,新兴市场IG信用利差变动,bp,peak_3d,11.0,,True,2025-04-09,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,doas_bp,新兴市场IG信用利差变动,bp,cum_window,3.0,,True,2025-04-11,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,fx_ret_pct,人民币兑美元汇率收益,%,single_extreme,-0.4896,,True,2025-04-10,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,fx_ret_pct,人民币兑美元汇率收益,%,peak_3d,-0.6466,,True,2025-04-11,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,fx_ret_pct,人民币兑美元汇率收益,%,cum_window,0.1537,,True,2025-04-11,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,etf_ret_tr_pct,主口径ETF(USD复权),%,cum_window,-2.2896,,True,2025-04-11,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,etf_ret_tr_pct,主口径ETF(USD复权),%,max_drawdown,-2.2636,,True,2025-04-11,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,etf_ret_rmb_pct,次口径ETF(人民币),%,cum_window,-2.1359,,True,2025-04-11,
H3,历史,2025 关税冲击,利率+信用+汇率,2025-04-07,2025-04-11,etf_ret_rmb_pct,次口径ETF(人民币),%,max_drawdown,-2.1133,,True,2025-04-11,
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,2022-11-29,2022-12-05,d5y_bp,5年期美债收益率变动,bp,single_extreme,13.0,,True,2022-12-05,
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,2022-11-29,2022-12-05,d5y_bp,5年期美债收益率变动,bp,peak_3d,-2.0,,True,2022-12-05,
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,2022-11-29,2022-12-05,d5y_bp,5年期美债收益率变动,bp,cum_window,-8.0,,True,2022-12-05,
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,2022-11-29,2022-12-05,d10y_bp,10年期美债收益率变动,bp,single_extreme,9.0,,True,2022-12-05,
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,2022-11-29,2022-12-05,d10y_bp,10年期美债收益率变动,bp,peak_3d,-8.0,,True,2022-12-05,
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,2022-11-29,2022-12-05,d10y_bp,10年期美债收益率变动,bp,cum_window,-9.0,,True,2022-12-05,
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,2022-11-29,2022-12-05,doas_bp,新兴市场IG信用利差变动,bp,窗内实现,,,False,,该窗内 doas_bp 无数据（序列自 2023-09-05 起）
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,2022-11-29,2022-12-05,fx_ret_pct,人民币兑美元汇率收益,%,single_extreme,-0.9674,,True,2022-11-30,
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,2022-11-29,2022-12-05,fx_ret_pct,人民币兑美元汇率收益,%,peak_3d,-2.3159,,True,2022-12-01,
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,2022-11-29,2022-12-05,fx_ret_pct,人民币兑美元汇率收益,%,cum_window,-3.4785,,True,2022-12-05,
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,2022-11-29,2022-12-05,etf_ret_tr_pct,主口径ETF(USD复权),%,cum_window,1.437,,True,2022-12-05,
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,2022-11-29,2022-12-05,etf_ret_tr_pct,主口径ETF(USD复权),%,max_drawdown,-0.3079,,True,2022-12-05,
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,2022-11-29,2022-12-05,etf_ret_rmb_pct,次口径ETF(人民币),%,cum_window,-2.0415,,True,2022-12-05,
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,2022-11-29,2022-12-05,etf_ret_rmb_pct,次口径ETF(人民币),%,max_drawdown,-2.0208,,True,2022-12-05,
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,2022-03-08,2022-03-15,d5y_bp,5年期美债收益率变动,bp,single_extreme,14.0,,True,2022-03-14,
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,2022-03-08,2022-03-15,d5y_bp,5年期美债收益率变动,bp,peak_3d,23.0,,True,2022-03-14,
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,2022-03-08,2022-03-15,d5y_bp,5年期美债收益率变动,bp,cum_window,39.0,,True,2022-03-15,
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,2022-03-08,2022-03-15,d10y_bp,10年期美债收益率变动,bp,single_extreme,14.0,,True,2022-03-14,
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,2022-03-08,2022-03-15,d10y_bp,10年期美债收益率变动,bp,peak_3d,20.0,,True,2022-03-10,
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,2022-03-08,2022-03-15,d10y_bp,10年期美债收益率变动,bp,cum_window,37.0,,True,2022-03-15,
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,2022-03-08,2022-03-15,doas_bp,新兴市场IG信用利差变动,bp,窗内实现,,,False,,该窗内 doas_bp 无数据（序列自 2023-09-05 起）
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,2022-03-08,2022-03-15,fx_ret_pct,人民币兑美元汇率收益,%,single_extreme,-0.0253,,True,2022-03-08,
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,2022-03-08,2022-03-15,fx_ret_pct,人民币兑美元汇率收益,%,peak_3d,0.0285,,True,2022-03-10,
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,2022-03-08,2022-03-15,fx_ret_pct,人民币兑美元汇率收益,%,cum_window,0.7912,,True,2022-03-15,
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,2022-03-08,2022-03-15,etf_ret_tr_pct,主口径ETF(USD复权),%,cum_window,-3.0008,,True,2022-03-15,
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,2022-03-08,2022-03-15,etf_ret_tr_pct,主口径ETF(USD复权),%,max_drawdown,-2.9562,,True,2022-03-15,
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,2022-03-08,2022-03-15,etf_ret_rmb_pct,次口径ETF(人民币),%,cum_window,-2.2096,,True,2022-03-15,
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,2022-03-08,2022-03-15,etf_ret_rmb_pct,次口径ETF(人民币),%,max_drawdown,-2.1854,,True,2022-03-15,
S01,假设,利率上行·轻度,利率上行,,,d5y_bp,5年期美债收益率变动,bp,peak_3d,54.0,1.0,True,2022-06-14,历史 3 日累计峰值 54.0000 × 1.0
S01,假设,利率上行·轻度,利率上行,,,d10y_bp,10年期美债收益率变动,bp,peak_3d,45.0,1.0,True,2022-06-14,历史 3 日累计峰值 45.0000 × 1.0
S02,假设,利率上行·中度,利率上行,,,d5y_bp,5年期美债收益率变动,bp,peak_3d,81.0,1.5,True,2022-06-14,历史 3 日累计峰值 54.0000 × 1.5
S02,假设,利率上行·中度,利率上行,,,d10y_bp,10年期美债收益率变动,bp,peak_3d,67.5,1.5,True,2022-06-14,历史 3 日累计峰值 45.0000 × 1.5
S03,假设,利率上行·极端,利率上行,,,d5y_bp,5年期美债收益率变动,bp,peak_3d,108.0,2.0,True,2022-06-14,历史 3 日累计峰值 54.0000 × 2.0
S03,假设,利率上行·极端,利率上行,,,d10y_bp,10年期美债收益率变动,bp,peak_3d,90.0,2.0,True,2022-06-14,历史 3 日累计峰值 45.0000 × 2.0
S04,假设,信用利差走阔·轻度,信用利差走阔,,,doas_bp,新兴市场IG信用利差变动,bp,peak_3d,18.0,1.0,True,2023-12-13,历史 3 日累计峰值 18.0000 × 1.0
S05,假设,信用利差走阔·中度,信用利差走阔,,,doas_bp,新兴市场IG信用利差变动,bp,peak_3d,27.0,1.5,True,2023-12-13,历史 3 日累计峰值 18.0000 × 1.5
S06,假设,信用利差走阔·极端,信用利差走阔,,,doas_bp,新兴市场IG信用利差变动,bp,peak_3d,36.0,2.0,True,2023-12-13,历史 3 日累计峰值 18.0000 × 2.0
S07,假设,离岸汇率贬值·轻度,离岸汇率贬值,,,fx_ret_pct,人民币兑美元汇率收益,%,peak_3d,-2.7459,1.0,True,2022-11-15,历史 3 日累计峰值 -2.7459 × 1.0
S08,假设,离岸汇率贬值·中度,离岸汇率贬值,,,fx_ret_pct,人民币兑美元汇率收益,%,peak_3d,-4.1189,1.5,True,2022-11-15,历史 3 日累计峰值 -2.7459 × 1.5
S09,假设,离岸汇率贬值·极端,离岸汇率贬值,,,fx_ret_pct,人民币兑美元汇率收益,%,peak_3d,-5.4918,2.0,True,2022-11-15,历史 3 日累计峰值 -2.7459 × 2.0
S10,假设,利率+信用同时恶化·极端,组合,,,d5y_bp,5年期美债收益率变动,bp,peak_3d,108.0,2.0,True,2022-06-14,利率与信用同向极端（2×），对齐 IMF WP/15/216 多冲击同时发生
S10,假设,利率+信用同时恶化·极端,组合,,,d10y_bp,10年期美债收益率变动,bp,peak_3d,90.0,2.0,True,2022-06-14,利率与信用同向极端（2×），对齐 IMF WP/15/216 多冲击同时发生
S10,假设,利率+信用同时恶化·极端,组合,,,doas_bp,新兴市场IG信用利差变动,bp,peak_3d,36.0,2.0,True,2023-12-13,利率与信用同向极端（2×），对齐 IMF WP/15/216 多冲击同时发生
